"grupo_edad,""hombres_2018"",""mujeres_2018"",""hombres_2022"",""mujeres_2022"",""hombres_2025"",""mujeres_2025"",""municipio"",""idPiramidePoblacional"""
"Total,0,0,0,0,0,0,""Santander de Quilichao"",1"
"0-4,4544,4205,4400,4047,4213,3854,""Santander de Quilichao"",2"
"5-9,4542,4234,4522,4186,4514,4153,""Santander de Quilichao"",3"
"10-14,4696,4423,4524,4248,4499,4208,""Santander de Quilichao"",4"
"15-19,5024,4827,4783,4592,4629,4438,""Santander de Quilichao"",5"
"20-24,5182,5122,5292,5214,5152,5056,""Santander de Quilichao"",6"
"25-29,4676,4839,5137,5252,5302,5387,""Santander de Quilichao"",7"
"30-34,4198,4446,4451,4704,4784,5022,""Santander de Quilichao"",8"
"35-39,3913,4260,4143,4502,4293,4663,""Santander de Quilichao"",9"
"40-44,3296,3783,3820,4341,4078,4617,""Santander de Quilichao"",10"
"45-49,2891,3412,3156,3659,3534,4047,""Santander de Quilichao"",11"
"50-54,2594,3074,2764,3225,2913,3353,""Santander de Quilichao"",12"
"55-59,2271,2731,2464,2939,2594,3059,""Santander de Quilichao"",13"
"60-64,1872,2217,2123,2557,2294,2751,""Santander de Quilichao"",14"
"65-69,1449,1689,1648,1950,1821,2186,""Santander de Quilichao"",15"
"70-74,1036,1232,1201,1437,1331,1613,""Santander de Quilichao"",16"
"75-79,696,855,812,1007,914,1141,""Santander de Quilichao"",17"
"80-100,979,1237,1090,1395,1172,1536,""Santander de Quilichao"",18"
"Total,19333,22282,20189,23435,20796,24251,""Puerto Tejada"",19"
"0-4,1661,1512,1603,1457,1536,1387,""Puerto Tejada"",20"
"5-9,1698,1584,1688,1565,1681,1556,""Puerto Tejada"",21"
"10-14,1766,1719,1694,1650,1685,1638,""Puerto Tejada"",22"
"15-19,1824,1877,1730,1787,1674,1729,""Puerto Tejada"",23"
"20-24,1866,2018,1903,2052,1848,1997,""Puerto Tejada"",24"
"25-29,1659,1961,1821,2136,1881,2195,""Puerto Tejada"",25"
"30-34,1454,1803,1545,1920,1661,2061,""Puerto Tejada"",26"
"35-39,1338,1660,1419,1763,1474,1836,""Puerto Tejada"",27"
"40-44,1151,1442,1338,1665,1431,1778,""Puerto Tejada"",28"
"45-49,1060,1391,1161,1504,1297,1668,""Puerto Tejada"",29"
"50-54,969,1328,1037,1403,1094,1468,""Puerto Tejada"",30"
"55-59,851,1171,925,1268,980,1325,""Puerto Tejada"",31"
"60-64,685,921,777,1068,840,1156,""Puerto Tejada"",32"
"65-69,497,654,565,760,627,855,""Puerto Tejada"",33"
"70-74,342,442,396,518,441,584,""Puerto Tejada"",34"
"75-79,233,301,273,358,307,403,""Puerto Tejada"",35"
"80-100,279,498,314,561,339,615,""Puerto Tejada"",36"
"Total,9174,10497,9356,10831,9612,11173,""Guachene"",37"
"0-4,709,726,672,686,639,656,""Guachene"",38"
"5-9,773,767,751,746,745,740,""Guachene"",39"
"10-14,884,864,828,815,822,808,""Guachene"",40"
"15-19,950,985,881,923,849,894,""Guachene"",41"
"20-24,894,1011,892,1016,866,986,""Guachene"",42"
"25-29,758,919,813,985,841,1013,""Guachene"",43"
"30-34,682,871,707,911,759,975,""Guachene"",44"
"35-39,684,883,709,923,734,958,""Guachene"",45"
"40-44,608,751,689,852,732,908,""Guachene"",46"
"45-49,496,596,529,632,593,702,""Guachene"",47"
"50-54,400,514,418,534,439,559,""Guachene"",48"
"55-59,353,457,374,486,395,511,""Guachene"",49"
"60-64,298,346,330,395,358,428,""Guachene"",50"
"65-69,223,259,248,297,273,333,""Guachene"",51"
"70-74,158,191,178,222,199,249,""Guachene"",52"
"75-79,110,141,125,163,141,188,""Guachene"",53"
"80-100,194,216,212,245,227,265,""Guachene"",54"
