Suma de hombres_2018,grupo_edad,Suma de hombres_2022,Suma de hombres_2025,Suma de mujeres_2018,Suma de mujeres_2022,Suma de mujeres_2025,municipio
709,0-4,672,639,726,686,656,Guachene
1661,0-4,1603,1536,1512,1457,1387,Puerto Tejada
4544,0-4,4400,4213,4205,4047,3854,Santander de Quilichao
884,10-14,828,822,864,815,808,Guachene
1766,10-14,1694,1685,1719,1650,1638,Puerto Tejada
4696,10-14,4524,4499,4423,4248,4208,Santander de Quilichao
950,15-19,881,849,985,923,894,Guachene
1824,15-19,1730,1674,1877,1787,1729,Puerto Tejada
5024,15-19,4783,4629,4827,4592,4438,Santander de Quilichao
894,20-24,892,866,1011,1016,986,Guachene
1866,20-24,1903,1848,2018,2052,1997,Puerto Tejada
5182,20-24,5292,5152,5122,5214,5056,Santander de Quilichao
758,25-29,813,841,919,985,1013,Guachene
1659,25-29,1821,1881,1961,2136,2195,Puerto Tejada
4676,25-29,5137,5302,4839,5252,5387,Santander de Quilichao
682,30-34,707,759,871,911,975,Guachene
1454,30-34,1545,1661,1803,1920,2061,Puerto Tejada
4198,30-34,4451,4784,4446,4704,5022,Santander de Quilichao
684,35-39,709,734,883,923,958,Guachene
1338,35-39,1419,1474,1660,1763,1836,Puerto Tejada
3913,35-39,4143,4293,4260,4502,4663,Santander de Quilichao
608,40-44,689,732,751,852,908,Guachene
1151,40-44,1338,1431,1442,1665,1778,Puerto Tejada
3296,40-44,3820,4078,3783,4341,4617,Santander de Quilichao
496,45-49,529,593,596,632,702,Guachene
1060,45-49,1161,1297,1391,1504,1668,Puerto Tejada
2891,45-49,3156,3534,3412,3659,4047,Santander de Quilichao
400,50-54,418,439,514,534,559,Guachene
969,50-54,1037,1094,1328,1403,1468,Puerto Tejada
2594,50-54,2764,2913,3074,3225,3353,Santander de Quilichao
353,55-59,374,395,457,486,511,Guachene
851,55-59,925,980,1171,1268,1325,Puerto Tejada
2271,55-59,2464,2594,2731,2939,3059,Santander de Quilichao
773,5-9,751,745,767,746,740,Guachene
1698,5-9,1688,1681,1584,1565,1556,Puerto Tejada
4542,5-9,4522,4514,4234,4186,4153,Santander de Quilichao
298,60-64,330,358,346,395,428,Guachene
685,60-64,777,840,921,1068,1156,Puerto Tejada
1872,60-64,2123,2294,2217,2557,2751,Santander de Quilichao
223,65-69,248,273,259,297,333,Guachene
497,65-69,565,627,654,760,855,Puerto Tejada
1449,65-69,1648,1821,1689,1950,2186,Santander de Quilichao
158,70-74,178,199,191,222,249,Guachene
342,70-74,396,441,442,518,584,Puerto Tejada
1036,70-74,1201,1331,1232,1437,1613,Santander de Quilichao
110,75-79,125,141,141,163,188,Guachene
233,75-79,273,307,301,358,403,Puerto Tejada
696,75-79,812,914,855,1007,1141,Santander de Quilichao
194,80-100,212,227,216,245,265,Guachene
279,80-100,314,339,498,561,615,Puerto Tejada
979,80-100,1090,1172,1237,1395,1536,Santander de Quilichao
9174,Total,9356,9612,10497,10831,11173,Guachene
19333,Total,20189,20796,22282,23435,24251,Puerto Tejada
