"MUNICIPIO_HECHO_VioIn","AÑO_VioIn","ZONA_VioIn","CANTIDAD"
"PUERTO TEJADA",2022,"URBANA","88"
"GUACHENÉ",2020,"URBANA","28"
"PUERTO TEJADA",2021,"URBANA","80"
"GUACHENÉ",2021,"URBANA","27"
"SANTANDER DE QUILICHAO",2020,"URBANA","156"
"PUERTO TEJADA",2020,"RURAL","12"
"SANTANDER DE QUILICHAO",2022,"RURAL","71"
"SANTANDER DE QUILICHAO",2020,"RURAL","48"
"PUERTO TEJADA",2021,"RURAL","35"
"GUACHENÉ",2020,"RURAL","10"
"SANTANDER DE QUILICHAO",2021,"RURAL","36"
"PUERTO TEJADA",2022,"RURAL","57"
"GUACHENÉ",2022,"URBANA","18"
"GUACHENÉ",2021,"RURAL","38"
"SANTANDER DE QUILICHAO",2022,"URBANA","183"
"PUERTO TEJADA",2020,"URBANA","77"
"GUACHENÉ",2022,"RURAL","17"
"SANTANDER DE QUILICHAO",2021,"URBANA","155"
